"Año";"Periodo";"Petróleo";"Gas";"Carbón";"Nuclear";"Hidroeléctrica";"Geotermal, biomasa y otra";"Solar";"Eólica"
;;;;;;;;;
"Métrica":"Hidroeléctrica"
"Fuente":"BP"
"Clasificación":""
"Unidad":"toneladas equivalentes de petróleo"
"Escala":"Millones"
"EscalaFactorPotencia10":"6"
"SonDatosNumericos":"True"
;;;;;;;;;
;;;;;;;;;
"Métrica":"Geotermal, biomasa y otra"
"Fuente":"BP"
"Clasificación":""
"Unidad":"toneladas equivalentes de petróleo"
"Escala":"Millones"
"EscalaFactorPotencia10":"6"
"SonDatosNumericos":"True"
;;;;;;;;;
;;;;;;;;;
"Métrica":"Solar"
"Fuente":"BP"
"Clasificación":""
"Unidad":"toneladas equivalentes de petróleo"
"Escala":"Millones"
"EscalaFactorPotencia10":"6"
"SonDatosNumericos":"True"
;;;;;;;;;
;;;;;;;;;
"Métrica":"Eólica"
"Fuente":"BP"
"Clasificación":""
"Unidad":"toneladas equivalentes de petróleo"
"Escala":"Millones"
"EscalaFactorPotencia10":"6"
"SonDatosNumericos":"True"
;;;;;;;;;
;;;;;;;;;
"Url":"https://www.epdata.es/evolucion-energia-consumida-espana-tipo/3a46a6f3-b873-40a6-8b5e-2e82746922e6"
"Titulo":"Evolución de energía consumida en España, por tipo"
"Subtitulo":""
